#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos
Mantenimiento del sistema integrado de biblioteca,3321,21602,21/04/2016,B28078020,"3M ESPAÑA.,S.L.","SERVICIO MANTENIMIENTO SISTEMA ANTIHURTO, APROBADA CON DECRETO 777/2016 - NUMERO DE FAC.: 4011089 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 11/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",1129.88,0
Energía eléctrica,151,22100,20/10/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20180969 - C/ POTRO 21 BJ - FACTURAICON JUL / AGO - URBANISMO - APROBADA POR DECRETO 2430/2016 - NUMERO DE FAC.: FE16321210221323 DE FECHA OPERACION: 06/10/2016 Y FECHA REG. INTERVENCIÓN: 05/09/2016,1681.23,0
Energía eléctrica,151,22100,11/11/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20180969 - C/ POTRO 21 BJ - FACTURACION AGO / SEP - URBANISMO - APROBADO POR DECRETO 2511/2016 - NUMERO DE FAC.: FE16321212745767 DE FECHA OPERACION: 17/10/2016 Y FECHA REG. INTERVENCIÓN: 06/10/2016 Y DECRETO DE PAGO Nº 2513/2016,1525.65,0
Energía eléctrica,151,22100,11/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20180969 - C/ POTRO 21 BJ - FACTURACION NOV/DIC - URBANISMO - APROBADO POR REC 01/2016 POR PLENO DE FECHA 25/02/16 - NUMERO DE FAC.: FE15321189899470 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 08/01/2016,1235.88,0
Energía eléctrica,241,22100,25/05/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 201181645 - C/ IGLESIA 14 BJ - FACTURACION NOV / ENE - EMPLEO - APROBADO Dº 1190/2016 - NUMERO DE FAC.: FE16321197668295 DE FECHA OPERACION: 03/05/2016 Y FECHA REG. INTERVENCIÓN: 08/04/2016,801.99,0
Energía eléctrica,241,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20181645 - C/ IGLESIA 14 BJ - FACTURACION ENE / MAR - EMPLEO - APROBADO POR DECRETO 1621/2016 - NUMERO DE FAC.: FE16321203972403 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 06/06/2016,2336.39,0
Energía eléctrica,241,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20181645 - C/ IGLESIA 14 BJ - FACTURACION MAR / MAY - EMPLEO - APROBADO POR DECRETO 1621/2016 - NUMERO DE FAC.: FE16321203972405 DE FECHA OPERACION: 16/06/2016 Y FECHA REG. INTERVENCIÓN: 06/06/2016,231.52,0
Energía eléctrica,241,22100,22/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20181645 - C/ IGLESIA 14 - FCTURAICON MAY / JUL - EMPLEO - APROBADO POR DECRETO 2037/2016 - NUMERO DE FAC.: FE16321207823586 DE FECHA OPERACION: 09/08/2016 Y FECHA REG. INTERVENCIÓN: 05/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2038/2016,1048.65,0
Energía eléctrica,241,22100,17/11/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20181645 - C/ IGLESIA 14 - FCTURACION JUL / AGO - EMPLEO - APROBADA POR DECRETO 2587/2016 - NUMERO DE FAC.: FE16321212818049 DE FECHA OPERACION: 26/10/2016 Y FECHA REG. INTERVENCIÓN: 06/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2616/2016,41.36,0
Energía eléctrica,241,22100,11/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20181645 - C/ IGLESIA 4 BJ - FACTURACION SEP/NOV - EMPLEO - APROBADO POR REC 01/2016 POR PLENO DE FECHA 25/02/16 - NUMERO DE FAC.: FE15321190139589 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 08/01/2016,342.83,0
Energía eléctrica,320,22100,03/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718678 - C/ ANDALUCIA 8 - FACTURACION DIC / ENE - EDUCACION - APROBADO POR DECRETO 469/2016 - NUMERO DE FAC.: FE16321192507738 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 04/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 470/2016,2535.54,0
Energía eléctrica,320,22100,03/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718852 - C/ CARTAGENA 1 - FACTURACION DIC / ENE - EDUCACION - APROBADO POR DECRETO 469/2016 - NUMERO DE FAC.: FE16321192507744 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 04/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 470/2016,6480.12,0
Energía eléctrica,320,22100,03/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718636 - C/ BARCELONA 19 - FACTURACION DIC / ENE - EDUCACION - APROBADO POR DECRETO 469/2016 - NUMERO DE FAC.: FE16321192507729 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 04/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 470/2016,1767.82,0
Energía eléctrica,320,22100,03/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718540 - C/ SERRANILLOS 6 - FACTURACION DIC / ENE - EDUCACION - APROBADO POR DECRETO 469/2016 - NUMERO DE FAC.: FE16321192507716 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 04/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 470/2016,595.04,0
Energía eléctrica,320,22100,03/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTATRO 18718536 - C/ SERRANILLOS 2 - FACTURACION DIC / ENE - EDUCACION - APROBADO POR DECRETO 469/2016 - NUMERO DE FAC.: FE16321192507715 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 04/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 470/2016,820.82,0
Energía eléctrica,320,22100,07/04/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718636 - C/ BARCEONA 19 BJ - FACTURACION ENE / FEB - EDUCACION - APROBADO POR DECRETO 791/2016 - NUMERO DE FAC.: FE16321195404697 DE FECHA OPERACION: 28/03/2016 Y FECHA REG. INTERVENCIÓN: 10/03/2016,1908.59,0
Energía eléctrica,320,22100,07/04/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718540 - C/ SERRANILLOS 6 BJ - FACTURACION ENE / FEB - EDUCACION - APROBADO POR DECRETO 791/2016 - NUMERO DE FAC.: FE16321195404686 DE FECHA OPERACION: 28/03/2016 Y FECHA REG. INTERVENCIÓN: 10/03/2016,543.13,0
Energía eléctrica,320,22100,07/04/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718852 - C/ CARTAGENA 1 BJ - FACTURACION ENE / FEB - EDUCACION - APROBADO POR DECRETO 791/2016 - NUMERO DE FAC.: FE16321195214563 DE FECHA OPERACION: 28/03/2016 Y FECHA REG. INTERVENCIÓN: 10/03/2016,5186,0
Energía eléctrica,320,22100,07/04/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718536 - C/ SERRANILLOS 2 - FCTURACION ENE / FEB - EDUCACION - APROBADO POR DECRETO 791/2016 - NUMERO DE FAC.: FE16321195475660 DE FECHA OPERACION: 28/03/2016 Y FECHA REG. INTERVENCIÓN: 10/03/2016,830.54,0
Energía eléctrica,320,22100,07/04/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718678 - C/ ANDALUCIA 8 - FACTURACION ENE / FEB - EDUCACION - APROBADO POR DECRETO 791/2016 - NUMERO DE FAC.: FE16321195404704 DE FECHA OPERACION: 28/03/2016 Y FECHA REG. INTERVENCIÓN: 10/03/2016,2114.96,0
Energía eléctrica,320,22100,25/05/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718678 - C/ ANDALUCIA 8 - FACTURACION FEB / MAR - EDUCACION- APROBADO Dº 1190/2016 - NUMERO DE FAC.: FE16321197423583 DE FECHA OPERACION: 03/05/2016 Y FECHA REG. INTERVENCIÓN: 08/04/2016,2340.67,0
Energía eléctrica,320,22100,25/05/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718536 - C/ SERRANILLOS 2 BJ - FACTURACION FEB / MAR - EDUCACION- APROBADO Dº 1190/2016 - NUMERO DE FAC.: FE16321198008359 DE FECHA OPERACION: 03/05/2016 Y FECHA REG. INTERVENCIÓN: 08/04/2016,892.36,0
Energía eléctrica,320,22100,25/05/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718540 - C/ SERRANILLOS 6 BJ - FACTURACION FEB / MAR - EDUCACION- APROBADO Dº 1190/2016 - NUMERO DE FAC.: FE16321198008360 DE FECHA OPERACION: 03/05/2016 Y FECHA REG. INTERVENCIÓN: 08/04/2016,594.58,0
Energía eléctrica,320,22100,25/05/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718852 - C/ CARTAGENA 1 BJ - FACTURACION FEB / MAR - EDUCACION- APROBADO Dº 1190/2016 - NUMERO DE FAC.: FE16321198008403 DE FECHA OPERACION: 03/05/2016 Y FECHA REG. INTERVENCIÓN: 08/04/2016,4972.25,0
Energía eléctrica,320,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 139439427 - C/ ANDALUCIA, 8 - FACTURACION MAR/ABR - EDUCACION - APROBADO Dº 1515/2016 - NUMERO DE FAC.: FE16321199994356 DE FECHA OPERACION: 08/06/2016 Y FECHA REG. INTERVENCIÓN: 10/05/2016",2122,0
Energía eléctrica,320,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718540 - C/ SERRANILLOS 6 BJ - FACTURACION ABR / MAY - EDUCACION - APROBADO POR DECRETO 1621/2016 - NUMERO DE FAC.: FE16321202799826 DE FECHA OPERACION: 16/06/2016 Y FECHA REG. INTERVENCIÓN: 06/06/2016,573.92,0
Energía eléctrica,320,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRAOTO 18718852 - C/ CARTAGENA 1 BJ - FACTURACION ABR / MAY - EDUCACION - APROBADO POR DECRETO 1621/2016 - NUMERO DE FAC.: FE16321202799867 DE FECHA OPERACION: 16/06/2016 Y FECHA REG. INTERVENCIÓN: 06/06/2016,5504.68,0
Energía eléctrica,320,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 139309221 - C/ BARCELONA, 19 - FACTUACION MAR/ABR - EDUCACION - APROBADO Dº 1515/2016 - NUMERO DE FAC.: FE16321200251529 DE FECHA OPERACION: 08/06/2016 Y FECHA REG. INTERVENCIÓN: 10/05/2016",1709.86,0
Energía eléctrica,320,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 139734800 - C/ CARTAGENA, 1 - FACRUACION MAR/ABRI - EDUCACION  - APROBADO Dº 1515/2016 - NUMERO DE FAC.: FE16321200096295 DE FECHA OPERACION: 08/06/2016 Y FECHA REG. INTERVENCIÓN: 10/05/2016",5003.58,0
Energía eléctrica,320,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 139915306 - C/ SERRANILLOS, 6 - FACTURACION MAR/ABR - EDUCACION - APROBADO Dº 1515/2016 - NUMERO DE FAC.: FE16321200251516 DE FECHA OPERACION: 08/06/2016 Y FECHA REG. INTERVENCIÓN: 10/05/2016",512.18,0
Energía eléctrica,320,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718636 - C/ BARCELONA 19 BJ - FCTURACION ABR / MAY - EDUCACION - APROBADO POR DECRETO 1621/2016 - NUMERO DE FAC.: FE16321202799845 DE FECHA OPERACION: 16/06/2016 Y FECHA REG. INTERVENCIÓN: 06/06/2016,2065.2,0
Energía eléctrica,320,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718536 - C/ SERRANILLOS 2 BJ - FACTURACION ABR / MAY - EDUCACION - APROBADO POR DECRETO 1621/2016 - NUMERO DE FAC.: FE16321202799825 DE FECHA OPERACION: 16/06/2016 Y FECHA REG. INTERVENCIÓN: 06/06/2016,907.2,0
Energía eléctrica,320,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139467376 - C/ SERRANILLOS - FACTURACION MAR/ABR - EDUCACIÓN - APROBADO Dº 1515/2016 - NUMERO DE FAC.: FE16321200299045 DE FECHA OPERACION: 08/06/2016 Y FECHA REG. INTERVENCIÓN: 10/05/2016,775.69,0
Energía eléctrica,320,22100,12/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718636 - C/ BARCELONA 19 BJ - FACTURACION MAY / JUN - EDUCACION - APROBADO POR DECRETO 1934/2016 - NUMERO DE FAC.: FE16321205144353 DE FECHA OPERACION: 28/07/2016 Y FECHA REG. INTERVENCIÓN: 18/07/2016 Y DECRETO DE PAGO 1935/2016,1567.54,0
Energía eléctrica,320,22100,12/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718852 - C/ CARTAGENA 1 BJ - FACUTRACION MAY / JUN  - EDUCACION - APROBADO POR DECRETO 1934/2016 - NUMERO DE FAC.: FE16321205144378 DE FECHA OPERACION: 28/07/2016 Y FECHA REG. INTERVENCIÓN: 18/07/2016 Y DECRETO DE PAGO 1935/2016,4334.56,0
Energía eléctrica,320,22100,12/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718540 - C/ SERRANILLOS 6 BJ - FACTUACION MAY / JUN - EDUCACION - APROBADO POR DECRETO 1934/2016 - NUMERO DE FAC.: FE16321205144333 DE FECHA OPERACION: 28/07/2016 Y FECHA REG. INTERVENCIÓN: 15/07/2016 Y DECRETO DE PAGO 1935/2016,466.6,0
Energía eléctrica,320,22100,12/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718536 - C/ SERRANILLOS 2 BJ - FCTUACION MAY / JUN - EDUCACION - APROBADO POR DECRETO 1934/2016 - NUMERO DE FAC.: FE16321205144332 DE FECHA OPERACION: 28/07/2016 Y FECHA REG. INTERVENCIÓN: 15/07/2016 Y DECRETO DE PAGO 1935/2016,771.04,0
Energía eléctrica,320,22100,12/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718678 - C/ ANDALUCIA 8 - FACTUACION MAY / JUN - EDUCACION - APROBADO POR DECRETO 1934/2016 - NUMERO DE FAC.: FE16321205144362 DE FECHA OPERACION: 28/07/2016 Y FECHA REG. INTERVENCIÓN: 15/07/2016 Y DECRETO DE PAGO 1935/2016,1998.29,0
Energía eléctrica,320,22100,12/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718678 - C/ ANDALUCIA 8 - FACUTRACION ABR / MAY - EDUCACION - APROBADO POR DECRETO 1934/2016 - NUMERO DE FAC.: FE16321204048505 DE FECHA OPERACION: 28/07/2016 Y FECHA REG. INTERVENCIÓN: 15/07/2016 Y DECRETO DE PAGO 1935/2016,2392.9,0
Energía eléctrica,320,22100,22/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718678 - C/ ANDALUCIA 8 - FACTURACION JUN / JUL - EDUCACION - APROBADO POR DECRETO 2037/2016 - NUMERO DE FAC.: FE16321207500513 DE FECHA OPERACION: 09/08/2016 Y FECHA REG. INTERVENCIÓN: 05/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2038/2016,1740.86,0
Energía eléctrica,320,22100,22/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718540 - C/ SERRANILLO 6 BJ - FACTUACION JUN / JUL - EDUCACION - APROBADO POR DECRETO 2037/2016 - NUMERO DE FAC.: FE16321207590557 DE FECHA OPERACION: 09/08/2016 Y FECHA REG. INTERVENCIÓN: 05/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2038/2016,448.33,0
Energía eléctrica,320,22100,22/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718852 - C/ CARTAGENA 1 - FACGTURACION JUN / JUL - EDUCACION - APROBADO POR DECRETO 2037/2016 - NUMERO DE FAC.: FE16321207712207 DE FECHA OPERACION: 09/08/2016 Y FECHA REG. INTERVENCIÓN: 05/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2038/2016,2999.82,0
Energía eléctrica,320,22100,22/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718536 - C/ SERRANILLO 2 BJ - FACTUACION JUN / JUL - EDUCACION - APROBADO POR DECRETO 2037/2016 - NUMERO DE FAC.: FE16321207590556 DE FECHA OPERACION: 09/08/2016 Y FECHA REG. INTERVENCIÓN: 05/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2038/2016,611.29,0
Energía eléctrica,320,22100,22/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718636 - C/ BARCELONA 19 - FACTURACION JUN / JUL - EDUCACION - APROBADO POR DECRETO 2037/2016 - NUMERO DE FAC.: FE16321207590570 DE FECHA OPERACION: 09/08/2016 Y FECHA REG. INTERVENCIÓN: 05/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2038/2016,1292.49,0
Energía eléctrica,320,22100,20/10/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718536 - C/ SERRANILLOS 2 BJ - FACTURACION JUL / AGO - EDUCACION - APROBADA POR DECRETO 2430/2016 - NUMERO DE FAC.: FE16321210221284 DE FECHA OPERACION: 06/10/2016 Y FECHA REG. INTERVENCIÓN: 05/09/2016,472.6,0
Energía eléctrica,320,22100,20/10/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718678 - C/ ANDALUCIA 8 - FACTURACION JUL / AGO - SERVICIOS GENERALES - APROBADA POR DECRETO 2430/2016 - NUMERO DE FAC.: FE16321210143760 DE FECHA OPERACION: 06/10/2016 Y FECHA REG. INTERVENCIÓN: 05/09/2016,1814.46,0
Energía eléctrica,320,22100,20/10/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718540 - C/ SERRANILLOS 6 BJ - FACTURACION JUL / AGO - EDUCACION - APROBADA POR DECRETO 2430/2016 - NUMERO DE FAC.: FE16321210221285 DE FECHA OPERACION: 06/10/2016 Y FECHA REG. INTERVENCIÓN: 05/09/2016,393.88,0
Energía eléctrica,320,22100,11/11/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718852 - C/ CARTAGENA 1 BJ - FACTURACION JUL / AGO - EDUCACION - APROBADO POR DECRETO 2511/16 - NUMERO DE FAC.: FE16321210143777 DE FECHA OPERACION: 17/10/2016 Y FECHA REG. INTERVENCIÓN: 05/09/2016,3517.05,0
Energía eléctrica,320,22100,11/11/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718636 - C/ BARCELONA 19 BJ - FACTURACION JUL / AGO - EDUCACION - APROBADO POR DECRETO 2511/16 - NUMERO DE FAC.: FE16321210221299 DE FECHA OPERACION: 17/10/2016 Y FECHA REG. INTERVENCIÓN: 05/09/2016,858.23,0
Energía eléctrica,320,22100,11/11/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718678 - C/ ANDALUCIA 8 - FACTURACION AGO / SEP - EDUCACION - APROBADO POR DECRETO 2511/16 - NUMERO DE FAC.: FE16321212745727 DE FECHA OPERACION: 17/10/2016 Y FECHA REG. INTERVENCIÓN: 06/10/2016,1655.24,0
Energía eléctrica,320,22100,11/11/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718536 - C/ SERRANILLOS 2 BJ - FACTURACION AGO / SEP - EDUCACION - APROBADO POR DECRETO 2511/16 - NUMERO DE FAC.: FE16321212817951 DE FECHA OPERACION: 17/10/2016 Y FECHA REG. INTERVENCIÓN: 06/10/2016,441.93,0
Energía eléctrica,320,22100,11/11/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718636 - C/ BARCELONA 19 BJ - FACTURACION AGO / SEP - EDUCACION - APROBADO POR DECRETO 2511/16 - NUMERO DE FAC.: FE16321212745720 DE FECHA OPERACION: 17/10/2016 Y FECHA REG. INTERVENCIÓN: 06/10/2016,795.84,0
Energía eléctrica,320,22100,11/11/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718540 - C/ SERRANILLOS 6 BJ - FACTURAICON AGO / SEP - EDUCACION - APROBADO POR DECRETO 2511/16 - NUMERO DE FAC.: FE16321212745707 DE FECHA OPERACION: 17/10/2016 Y FECHA REG. INTERVENCIÓN: 06/10/2016,368.87,0
Energía eléctrica,320,22100,11/11/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718852 - C/ CARTAGENA 1 BJ - FACTURACION AGO / SEP - EDUCACION - APROBADO POR DECRETO 2511/16 - NUMERO DE FAC.: FE16321212745741 DE FECHA OPERACION: 17/10/2016 Y FECHA REG. INTERVENCIÓN: 06/10/2016,3216.24,0
Energía eléctrica,320,22100,29/12/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718678 - PS ANDALUCIA - FACTURACION SEP/OCT - CONCEJALIA EDUCACION - APROBADO POR DECRETO 2872/2016 - NUMERO DE FAC.: FE16321214832328 DE FECHA OPERACION: 25/11/2016 Y FECHA REG. INTERVENCIÓN: 07/11/2016,1845.88,0
Energía eléctrica,320,22100,29/12/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718536 - PS SERRANILLOS - FACTURACION SEP/OCT - CONCEJALIA EDUCACION - APROBADO POR DECRETO 2872/2016 - NUMERO DE FAC.: FE16321215133611 DE FECHA OPERACION: 25/11/2016 Y FECHA REG. INTERVENCIÓN: 07/11/2016,878.9,0
Energía eléctrica,320,22100,29/12/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718636 - PS BARCELONA - FACTURACION SEP/OCT - CONCEJALIA EDUCACION - APROBADO POR DECRETO 2872/2016 - NUMERO DE FAC.: FE16321215133626 DE FECHA OPERACION: 25/11/2016 Y FECHA REG. INTERVENCIÓN: 07/11/2016,1564.64,0
Energía eléctrica,320,22100,29/12/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718540 - PS SERRANILLOS - FACTURACION SEP/OCT - CONCEJALIA EDUCACION - APROBADO POR DECRETO 2872/2016 - NUMERO DE FAC.: FE16321215133612 DE FECHA OPERACION: 25/11/2016 Y FECHA REG. INTERVENCIÓN: 07/11/2016,478.16,0
Energía eléctrica,320,22100,29/12/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718852 - PS CARTAGENA - FACTURACION SEP/OCT - CONCEJALIA EDUCACION - APROBADO POR DECRETO 2872/2016 - NUMERO DE FAC.: FE16321214939695 DE FECHA OPERACION: 25/11/2016 Y FECHA REG. INTERVENCIÓN: 07/11/2016,6794.49,0
Energía eléctrica,320,22100,11/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718678 - C/ ANDALUCIA 8 - FACTURACION NOV/DIC - EDUCACION - APROBADO POR REC 01/2016 POR PLENO DE FECHA 25/02/16 - NUMERO DE FAC.: FE15321189901674 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 08/01/2016,2185.49,0
Energía eléctrica,320,22100,11/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718536 - C/ SERRANILLOS 2 BJ - FACTURACION NOV/DIC - EDUCACION - APROBADO POR REC 01/2016 POR PLENO DE FECHA 25/02/16 - NUMERO DE FAC.: FE15321189901646 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 08/01/2016,675.06,0
Energía eléctrica,320,22100,11/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139915306 - C/ SERRANILLOS 6 BJ -FACTURACION NOV/DIC - EDUCACION - APROBADO POR REC 01/2016 POR PLENO DE FECHA 25/02/16 - NUMERO DE FAC.: FE15321189901647 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 08/01/2016,448.62,0
Energía eléctrica,320,22100,11/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718636 - C/ BARCELONA 19 BJ - FACTURACION NOV/DIC - EDUCACION - APROBADO POR REC 01/2016 POR PLENO DE FECHA 25/02/16 - NUMERO DE FAC.: FE15321189901667 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 08/01/2016,1552.74,0
Energía eléctrica,320,22100,11/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718852 - C/ CARTAGENA 1 BJ - FACTURACION NOV / DIC - EDUCACION - APROBADO POR REC 01/2016 POR PLENO DE FECHA 25/02/16 - NUMERO DE FAC.: FE15321189901693 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 12/01/2016,4675.34,0
Energía eléctrica,3342,22100,07/04/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718483 - C/ CARCAVILLAS 2 BJ - FACTURACION DIC / ENE - TERCERA EDAD / SEGURIDAD CIUDADANA - APROBADO POR DECRETO 791/2016 - NUMERO DE FAC.: FE16321194301394 DE FECHA OPERACION: 28/03/2016 Y FECHA REG. INTERVENCIÓN: 08/03/2016,3068.92,0
Energía eléctrica,3342,22100,25/05/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718483 - C/ CARCAVILLAS 2 BJ - FACTURACION ENE / FEB - TERCERA EDAD / SEGURIDAD CIUDADANA- APROBADO Dº 1190/2016 - NUMERO DE FAC.: FE16321197119066 DE FECHA OPERACION: 03/05/2016 Y FECHA REG. INTERVENCIÓN: 06/04/2016,2081.9,0
Energía eléctrica,3342,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 139261025 - C/ CARCAVILLAS, 2 - FACTURACION MAR/ABR - TERCERA EDAD/ SEGURIDAD CIUDADANA -APROBADO Dº 1515/2016 - NUMERO DE FAC.: FE16321199446037 DE FECHA OPERACION: 08/06/2016 Y FECHA REG. INTERVENCIÓN: 10/05/2016",2486.18,0
